trial,value,state,model.beta,model.threshold,trainer.lr
0,0.6439393939393939,COMPLETE,0.9806357182178841,1.231993941811405,0.00031489116479568613
1,0.7083333333333334,COMPLETE,0.829643541684063,0.6559945203362026,0.0024810409748678114
2,0.5037878787878788,COMPLETE,0.9645734676972377,1.1011150117432087,1.7073967431528103e-05
3,0.696969696969697,COMPLETE,0.8039110539162025,1.4699098521619942,0.006796578090758156
4,0.7121212121212122,COMPLETE,0.8403444310288725,0.6818249672071006,0.021368329072358756
5,0.3143939393939394,PRUNED,0.8578060261623122,1.024756431632238,5.415244119402538e-05
6,0.45454545454545453,PRUNED,0.855333536637628,1.1118528947223796,0.0005342937261279777
7,0.36363636363636365,PRUNED,0.8555074832216915,0.8663618432936917,3.613894271216525e-05
8,0.5416666666666666,PRUNED,0.9491834326646726,0.6996737821583597,0.0006672367170464204
9,0.5492424242424242,PRUNED,0.9125587680837881,0.5464504127199977,0.0011400863701127321
