trial,value,state,dataset.seed,model.beta,model.threshold,trainer.feedback_scale,trainer.lr,trainer.surrogate_scale
0,0.10512367491166077,COMPLETE,156,0.9137451119974369,0.6560186404424365,1.4907884894416696,0.00031489116479568613,0.9556428757689246
1,0.06404593639575971,COMPLETE,970,0.9345337897812487,0.5205844942958024,1.2421185223120967,1.7073967431528103e-05,0.8795585311974417
2,0.04549469964664311,COMPLETE,525,0.8348468568721524,0.8042422429595377,0.4454674376934912,0.021368329072358756,0.29110519961044856
3,0.07597173144876325,COMPLETE,367,0.826503833523888,0.7921446485352182,1.262520499972521,0.0005342937261279777,0.36210622617823773
4,0.04814487632508834,COMPLETE,47,0.8977045432985862,1.0924145688620426,0.4793801861008835,0.0006672367170464204,0.8066583652537123
5,0.16431095406360424,COMPLETE,809,0.9802882520781333,1.4656320330745594,0.22359802667203107,0.0026926469100861782,0.2534717113185624
6,0.062279151943462896,COMPLETE,496,0.8836289738105243,0.6220382348447788,1.400042750373098,0.00016536937182824412,0.1879049026057455
7,0.054328621908127206,COMPLETE,521,0.9258792340272566,0.811711076089411,0.5916819650400321,1.3726318898045866e-05,0.9183883618709039
8,0.26855123674911663,COMPLETE,895,0.9472752364386118,1.4394989415641892,1.9422107927526613,0.0015375920235481753,0.26636900997297436
9,0.12279151943462897,COMPLETE,326,0.8372367438596376,0.5452272889105381,0.2681357538986471,0.002463768595899745,0.9296868115208051
