trial,value,state,dataset.seed,model.beta,model.threshold,trainer.lr
0,0.6104240282685512,COMPLETE,599,0.9806357182178841,1.231993941811405,0.00031489116479568613
1,0.4571554770318021,COMPLETE,867,0.8296389588638785,0.5580836121681995,4.207988669606632e-05
2,0.09319787985865724,COMPLETE,970,0.9345337897812487,0.5205844942958024,0.002537815508265664
3,0.052120141342756186,COMPLETE,184,0.8403444310288725,0.6818249672071006,0.021368329072358756
4,0.5865724381625441,COMPLETE,292,0.8997037220101252,0.9319450186421158,0.00016480446427978953
5,0.5384275618374559,COMPLETE,367,0.826503833523888,0.7921446485352182,0.0028016351587162596
6,0.6956713780918727,COMPLETE,515,0.9491834326646726,0.6996737821583597,0.0006672367170464204
7,0.6351590106007067,COMPLETE,171,0.8088255784167996,1.1075448519014384,0.00234238498471129
8,0.2862190812720848,COMPLETE,809,0.9802882520781333,1.4656320330745594,1.8205657658407255e-05
9,0.5128091872791519,COMPLETE,441,0.818557701661213,1.1842330265121568,0.00016536937182824412
